iter	Passed	Remaining
0	62	62897
1	127	63839
2	225	75064
3	281	69987
4	320	63797
5	360	59726
6	414	58748
7	468	58115
8	515	56715
9	566	56108
10	616	55424
11	666	54874
12	717	54500
13	765	53885
14	813	53401
15	860	52916
16	905	52374
17	949	51778
18	1004	51886
19	1067	52303
20	1127	52555
21	1185	52683
22	1234	52457
23	1274	51815
24	1315	51302
25	1358	50898
26	1393	50212
27	1436	49867
28	1475	49408
29	1514	48957
30	1556	48656
31	1595	48267
32	1628	47714
33	1671	47494
34	1721	47470
35	1760	47154
36	1802	46907
37	1835	46454
38	1876	46234
39	1914	45947
40	1958	45806
41	1996	45534
42	2046	45541
43	2083	45269
44	2122	45042
45	2164	44888
46	2213	44885
47	2251	44648
48	2297	44590
49	2345	44557
50	2389	44457
51	2426	44238
52	2469	44125
53	2511	43992
54	2550	43823
55	2591	43679
56	2627	43470
57	2680	43540
58	2747	43812
59	2811	44043
60	2868	44157
61	2918	44154
62	2954	43943
63	2992	43758
64	3027	43551
65	3065	43379
66	3107	43273
67	3155	43245
68	3190	43049
69	3230	42923
70	3271	42806
71	3317	42754
72	3354	42603
73	3394	42472
74	3439	42415
75	3477	42273
76	3518	42171
77	3558	42063
78	3594	41909
79	3638	41843
80	3670	41643
81	3710	41534
82	3749	41427
83	3781	41235
84	3818	41105
85	3854	40968
86	3891	40843
87	3934	40770
88	3969	40631
89	4021	40666
90	4061	40574
91	4114	40608
92	4167	40641
93	4208	40560
94	4254	40530
95	4294	40442
96	4360	40592
97	4422	40700
98	4484	40815
99	4549	40949
100	4613	41068
101	4651	40953
102	4689	40837
103	4725	40712
104	4764	40607
105	4807	40545
106	4845	40436
107	4881	40317
108	4918	40206
109	4960	40138
110	4996	40013
111	5037	39940
112	5074	39836
113	5111	39725
114	5153	39662
115	5191	39560
116	5228	39461
117	5264	39347
118	5299	39236
119	5343	39185
120	5384	39111
121	5422	39021
122	5458	38921
123	5495	38824
124	5532	38729
125	5574	38666
126	5612	38579
127	5653	38517
128	5690	38425
129	5726	38321
130	5764	38239
131	5800	38145
132	5843	38090
133	5880	38002
134	5918	37919
135	5957	37849
136	5994	37763
137	6037	37714
138	6143	38051
139	6319	38820
140	6359	38744
141	6397	38652
142	6437	38580
143	6480	38522
144	6518	38438
145	6553	38335
146	6590	38243
147	6627	38151
148	6661	38047
149	6704	37990
150	6742	37911
151	6782	37839
152	6826	37792
153	6866	37721
154	6911	37677
155	6954	37626
156	6992	37545
157	7029	37458
158	7066	37374
159	7103	37291
160	7140	37210
161	7177	37130
162	7214	37044
163	7255	36983
164	7295	36918
165	7332	36840
166	7371	36771
167	7411	36702
168	7448	36624
169	7486	36550
170	7522	36469
171	7557	36382
172	7595	36310
173	7634	36240
174	7671	36164
175	7706	36081
176	7747	36022
177	7847	36239
178	8022	36794
179	8057	36706
180	8094	36627
181	8131	36546
182	8168	36466
183	8225	36479
184	8270	36435
185	8316	36397
186	8356	36330
187	8393	36251
188	8435	36195
189	8472	36118
190	8510	36045
191	8551	35986
192	8616	36026
193	8654	35956
194	8689	35870
195	8726	35795
196	8766	35734
197	8803	35658
198	8840	35585
199	8875	35502
200	8914	35436
201	8957	35388
202	8995	35316
203	9031	35239
204	9073	35188
205	9117	35141
206	9157	35082
207	9196	35015
208	9252	35017
209	9293	34961
210	9336	34912
211	9376	34853
212	9417	34795
213	9456	34733
214	9496	34671
215	9639	34988
216	9768	35248
217	9805	35173
218	9847	35119
219	9887	35053
220	9926	34991
221	9962	34914
222	10005	34862
223	10044	34797
224	10090	34757
225	10127	34686
226	10166	34618
227	10203	34547
228	10242	34483
229	10280	34416
230	10317	34348
231	10355	34279
232	10398	34229
233	10438	34170
234	10480	34118
235	10518	34052
236	10554	33980
237	10591	33910
238	10634	33860
239	10668	33782
240	10712	33738
241	10754	33684
242	10793	33623
243	10832	33561
244	10873	33507
245	10920	33471
246	10957	33406
247	10995	33341
248	11037	33288
249	11082	33248
250	11120	33185
251	11326	33621
252	11405	33675
253	11442	33606
254	11479	33538
255	11515	33467
256	11554	33405
257	11593	33342
258	11630	33274
259	11666	33205
260	11704	33140
261	11739	33067
262	11776	32999
263	11816	32943
264	11856	32885
265	11897	32830
266	11935	32766
267	11970	32696
268	12008	32631
269	12067	32625
270	12104	32562
271	12140	32492
272	12176	32424
273	12218	32375
274	12256	32313
275	12294	32251
276	12332	32189
277	12375	32141
278	12414	32082
279	12451	32016
280	12493	31968
281	12537	31921
282	12576	31864
283	12615	31804
284	12656	31751
285	12697	31699
286	12732	31632
287	12774	31581
288	13017	32026
289	13061	31979
290	13104	31927
291	13148	31879
292	13186	31819
293	13226	31761
294	13266	31703
295	13305	31644
296	13349	31599
297	13392	31547
298	13429	31485
299	13470	31430
300	13510	31375
301	13549	31315
302	13587	31254
303	13622	31187
304	13657	31120
305	13695	31061
306	13741	31019
307	13778	30957
308	13814	30893
309	13852	30832
310	13890	30774
311	13931	30720
312	13974	30672
313	14013	30615
314	14057	30569
315	14096	30511
316	14134	30453
317	14177	30406
318	14213	30342
319	14250	30281
320	14293	30233
321	14333	30180
322	14369	30118
323	14408	30062
324	14547	30213
325	14692	30377
326	14732	30320
327	14768	30256
328	14805	30196
329	14848	30146
330	14885	30086
331	14924	30028
332	14965	29976
333	15002	29916
334	15042	29859
335	15081	29804
336	15119	29745
337	15166	29704
338	15224	29685
339	15262	29627
340	15302	29572
341	15339	29512
342	15380	29460
343	15419	29404
344	15459	29349
345	15498	29295
346	15537	29239
347	15577	29185
348	15623	29143
349	15661	29085
350	15697	29025
351	15735	28966
352	15773	28910
353	15815	28861
354	15853	28804
355	15891	28747
356	15926	28686
357	15964	28628
358	15999	28567
359	16040	28516
360	16079	28461
361	16304	28736
362	16338	28670
363	16374	28611
364	16411	28550
365	16451	28498
366	16490	28442
